4.5367|80,0.0175|36,5.7421|33,-1.5539|92,0.4189|40,1.8116|56,3.6477|26,2.4260|109,-1.3564|67,0.5411|22,5.3058|22,3.2114|110,2.4180|14,6.1261|54,3.5281|107,3.4208|23,3.3859|48,6.1610|21,2.8449|111,0.4014|92,3.0194|41,1.6207|6,2.2515|109,4.2575|55,1.4302|119,1.7453|43,0.5585|72,1.0123|20,0.8901|91,5.4454|71,4.5029|56,3.0533|94,5.8119|99,5.9690|110,2.6878|115,-0.3581|113,0.8199|112,2.5307|102,1.3378|42,-0.9057|41,0.0906|83,2.5656|110,5.0440|54,4.3459|5,0.8727|72,1.5173|36,1.1170|81,1.0123|88,5.5676|78,-1.3465|86,0.7881|60,3.8401|109,2.1118|96,-0.7073|21,3.4421|58,3.1050|61,1.0821|40,4.1030|109,1.5359|19,0.5760|92,4.3982|43,1.9196|115,3.2289|87,-1.0198|7,-0.4686|79,3.9968|67,4.3580|115,5.9516|90,3.2987|113,-0.0469|102,2.1621|65,0.2504|92,1.3657|96,3.4422|109,2.0420|85,2.1555|26,1.6578|70,-0.5521|11,3.8746|38,5.9167|41_49117
4.5204|79,3.8746|90,3.9619|19,-1.5347|91,0.4189|40,1.7453|58,3.6477|26,2.4260|109,4.9044|66,0.5411|22,-0.8002|22,3.2065|106,2.7018|14,-0.0438|53,3.5430|106,3.3889|25,3.3859|48,0.0211|20,2.8375|106,0.4267|95,3.0098|38,1.1816|5,2.2515|109,4.2805|60,1.4504|117,1.6608|44,0.5941|70,0.0170|116,5.7072|112,3.3423|41,-0.0574|48,1.0189|95,-1.1252|77,2.6656|29,3.0320|81,2.6324|104,3.1216|113,5.7770|108,-1.2649|111,3.5256|31,0.8153|96,-0.7995|42,-1.3150|51,3.8200|7,0.8715|76,1.4297|38,1.1137|84,1.0008|84,-0.7174|79,-1.2849|88,0.5243|51,3.8573|109,2.1354|96,-0.5404|25,3.5133|60,3.1067|64,1.0821|40,4.1030|109,1.4515|20,0.5644|93,4.3982|43,1.9138|116,0.0352|31,-1.3960|9,-0.4665|84,4.0692|71,4.4049|109,5.9516|90,3.3153|112,6.2657|102,2.1621|65,0.2504|92,1.3758|93,3.4558|108,1.9941|87,2.1772|30,1.5864|69,-0.3714|11,3.7480|38,5.9167|41_49164
4.5204|79,3.8746|90,3.9619|19,-1.5347|91,0.4189|40,1.7453|58,3.6477|26,2.4260|109,4.9044|66,0.5411|22,5.3058|22,3.2114|110,2.7018|14,-0.1361|51,3.5430|106,3.3889|25,3.3859|48,0.0211|20,2.8375|106,0.4267|95,3.0098|38,1.1816|5,2.2515|109,4.2805|60,1.4504|117,1.6608|44,0.5941|70,0.0170|116,5.7072|112,3.3423|41,-0.0574|48,1.0189|95,-1.1252|77,2.6656|29,3.0320|81,2.6324|104,3.1216|113,5.7770|108,-1.2649|111,3.5256|31,0.8153|96,-0.7995|42,-1.3150|51,3.8200|7,0.8715|76,1.4297|38,1.1137|84,1.0008|84,-0.7174|79,-1.2849|88,0.5243|51,3.8573|109,2.1354|96,-0.5404|25,3.5133|60,3.1067|64,1.0821|40,4.1030|109,1.4515|20,0.5644|93,4.3982|43,1.9138|116,0.0352|31,-1.3960|9,-0.4665|84,4.0692|71,4.4049|109,5.9516|90,3.3153|112,6.2657|102,2.1621|65,0.2504|92,1.3758|93,3.4558|108,1.9941|87,2.1772|30,1.5864|69,-0.3714|11,3.7480|38,5.9167|41_49295
4.5204|79,3.8746|90,3.9619|19,-1.5347|91,0.4189|40,1.7453|58,3.6477|26,2.4260|109,4.9044|66,0.5411|22,5.3058|22,3.2114|110,2.7018|14,-0.1361|51,3.5430|106,3.3889|25,3.3859|48,0.0211|20,2.8375|106,0.4267|95,3.0098|38,1.1816|5,2.2515|109,4.2805|60,1.4504|117,1.6608|44,0.5941|70,0.0170|116,5.7072|112,3.3423|41,-0.0574|48,1.0189|95,-1.1252|77,2.6656|29,3.0320|81,2.6324|104,3.1216|113,5.7770|108,-1.2649|111,3.5256|31,0.8153|96,-0.7995|42,-1.3150|51,3.8200|7,0.8715|76,1.4297|38,1.1137|84,1.0008|84,-0.7174|79,-1.2849|88,0.5243|51,3.8573|109,2.1354|96,-0.5404|25,3.5133|60,3.1067|64,1.0821|40,4.1030|109,1.4515|20,0.5644|93,4.3982|43,1.9138|116,0.0352|31,-1.3960|9,-0.4665|84,4.0692|71,4.4049|109,5.9516|90,3.3153|112,6.2657|102,2.1621|65,0.2504|92,1.3758|93,3.4558|108,1.9941|87,2.1772|30,1.5864|69,-0.3714|11,3.7480|38,5.9167|41_49295
4.5204|79,3.8746|90,3.9619|19,-1.5347|91,0.4189|40,1.7453|58,3.6477|26,2.4260|109,4.9044|66,0.5411|22,5.3058|22,3.2114|110,2.7018|14,-0.1361|51,3.5430|106,3.3889|25,3.3859|48,0.0211|20,2.8375|106,0.4267|95,3.0098|38,1.1816|5,2.2515|109,4.2805|60,1.4504|117,1.6608|44,0.5941|70,0.0170|116,5.7072|112,3.3423|41,-0.0574|48,1.0189|95,-1.1252|77,2.6656|29,3.0320|81,2.6324|104,3.1216|113,5.7770|108,-1.2649|111,3.5256|31,0.8153|96,-0.7995|42,-1.3150|51,3.8200|7,0.8715|76,1.4297|38,1.1137|84,1.0008|84,-0.7174|79,-1.2849|88,0.5243|51,3.8573|109,2.1354|96,-0.5404|25,3.5133|60,3.1067|64,1.0821|40,4.1030|109,1.4515|20,0.5644|93,4.3982|43,1.9138|116,0.0352|31,-1.3960|9,-0.4665|84,4.0692|71,4.4049|109,5.9516|90,3.3153|112,6.2657|102,2.1621|65,0.2504|92,1.3758|93,3.4558|108,1.9941|87,2.1772|30,1.5864|69,-0.3714|11,3.7480|38,5.9167|41_49295
4.5204|79,3.8746|90,3.9619|19,-1.5347|91,0.4189|40,1.7453|58,3.6477|26,2.4260|109,4.9044|66,0.5411|22,5.3058|22,3.2114|110,2.7018|14,-0.1361|51,3.5430|106,3.3889|25,3.3859|48,0.0211|20,2.8375|106,0.4267|95,3.0098|38,1.1816|5,2.2515|109,4.2805|60,1.4504|117,1.6608|44,0.5941|70,0.0170|116,5.7072|112,3.3423|41,-0.0574|48,1.0189|95,-1.1252|77,2.6656|29,3.0320|81,2.6324|104,3.1216|113,5.7770|108,-1.2649|111,3.5256|31,0.8153|96,-0.7995|42,-1.3150|51,3.8200|7,0.8715|76,1.4297|38,1.1137|84,1.0008|84,-0.7174|79,-1.2849|88,0.5243|51,3.8573|109,2.1354|96,-0.5404|25,3.5133|60,3.1067|64,1.0821|40,4.1030|109,1.4515|20,0.5644|93,4.3982|43,1.9138|116,0.0352|31,-1.3960|9,-0.4665|84,4.0692|71,4.4049|109,5.9516|90,3.3153|112,6.2657|102,2.1621|65,0.2504|92,1.3758|93,3.4558|108,1.9941|87,2.1772|30,1.5864|69,-0.3714|11,3.7480|38,5.9167|41_49295
4.5204|79,3.8746|90,3.9619|19,-1.5347|91,0.4189|40,1.7453|58,3.6477|26,2.4260|109,4.9044|66,0.5411|22,5.3058|22,3.2114|110,2.7018|14,-0.1361|51,3.5430|106,3.3889|25,3.3859|48,0.0211|20,2.8375|106,0.4267|95,3.0098|38,1.1816|5,2.2515|109,4.2805|60,1.4504|117,1.6608|44,0.5941|70,0.0170|116,5.7072|112,3.3423|41,-0.0574|48,1.0189|95,-1.1252|77,2.6656|29,3.0320|81,2.6324|104,3.1216|113,5.7770|108,-1.2649|111,3.5256|31,0.8153|96,-0.7995|42,-1.3150|51,3.8200|7,0.8715|76,1.4297|38,1.1137|84,1.0008|84,-0.7174|79,-1.2849|88,0.5243|51,3.8573|109,2.1354|96,-0.5404|25,3.5133|60,3.1067|64,1.0821|40,4.1030|109,1.4515|20,0.5644|93,4.3982|43,1.9138|116,0.0352|31,-1.3960|9,-0.4665|84,4.0692|71,4.4049|109,5.9516|90,3.3153|112,6.2657|102,2.1621|65,0.2504|92,1.3758|93,3.4558|108,1.9941|87,2.1772|30,1.5864|69,-0.3714|11,3.7480|38,5.9167|41_49295
4.5204|79,3.8746|90,4.0523|16,-1.5339|89,0.4189|40,1.7043|56,3.6477|26,2.4260|109,-1.3371|63,0.5439|19,5.3058|22,3.2114|110,2.7157|12,-0.1361|51,3.5430|106,3.3121|27,3.3859|48,0.0211|20,2.8316|109,0.3792|90,3.0098|38,1.4532|6,2.2687|108,4.1961|52,1.4504|117,1.6608|44,0.5941|70,0.0170|116,5.7072|112,3.3423|41,-0.0147|51,1.0189|95,-1.1011|82,2.6656|29,3.0635|80,2.6324|104,3.1212|111,5.7770|108,-1.2537|107,3.5256|31,0.8362|98,-0.7995|42,-1.3150|51,3.4038|9,0.8715|76,1.3780|38,1.1137|84,0.9753|82,-0.7174|79,-1.2849|88,0.5243|51,3.8259|108,2.1354|96,-0.5404|25,3.5133|60,3.1067|64,1.0821|40,4.1030|109,1.4515|20,0.5644|93,4.3982|43,1.9138|116,0.0352|31,-1.3960|9,-0.4665|84,4.0692|71,4.4049|109,5.9516|90,3.3329|109,0.0185|98,2.1361|63,0.2504|92,1.3758|93,3.4558|108,1.9849|88,2.1772|30,1.6578|70,-0.5521|11,3.8746|38,5.9167|41_49425
4.5204|79,3.8746|90,4.0523|16,-1.5339|89,0.4189|40,1.7043|56,3.6477|26,2.4260|109,-1.3371|63,0.5439|19,5.3058|22,3.2114|110,2.7157|12,-0.1361|51,3.5430|106,3.3121|27,3.3859|48,0.0211|20,2.8316|109,0.3792|90,3.0098|38,1.4532|6,2.2687|108,4.1961|52,1.4504|117,1.6608|44,0.5941|70,0.0170|116,5.7072|112,3.3423|41,-0.0147|51,1.0189|95,-1.1011|82,2.6656|29,3.0635|80,2.6324|104,3.1212|111,5.7770|108,-1.2537|107,3.5256|31,0.8362|98,-0.7995|42,-1.3150|51,3.4038|9,0.8715|76,1.3780|38,1.1137|84,0.9753|82,-0.7174|79,-1.2849|88,0.5243|51,3.8259|108,2.1354|96,-0.5404|25,3.5133|60,3.1067|64,1.0821|40,4.1030|109,1.4515|20,0.5644|93,4.3982|43,1.9138|116,0.0352|31,-1.3960|9,-0.4665|84,4.0692|71,4.4049|109,5.9516|90,3.3329|109,0.0185|98,2.1361|63,0.2504|92,1.3758|93,3.4558|108,1.9849|88,2.1772|30,1.6578|70,-0.5521|11,3.8746|38,5.9167|41_49425
4.5204|79,3.8746|90,3.9619|19,-1.5359|93,0.4134|38,1.7453|58,3.7525|24,2.4260|109,4.9044|66,0.4783|24,5.3058|22,3.2114|110,2.7018|14,-0.1664|52,3.5430|106,3.3889|25,3.3859|48,0.0211|20,2.8375|106,0.4551|96,3.0098|38,1.3543|8,2.2687|108,4.2575|55,1.4185|115,1.6608|44,0.5941|70,0.0353|112,5.7072|112,3.3423|41,-0.0574|48,0.9811|93,-1.1252|77,2.6656|29,3.0320|81,2.6324|104,3.1216|113,5.7770|108,-1.2649|111,3.5256|31,0.7851|95,-0.7995|42,-1.3150|51,3.8200|7,0.8715|76,1.4297|38,1.1137|84,1.0008|84,-0.7174|79,-1.3069|88,0.5243|51,3.8573|109,2.1354|96,-0.5404|25,3.4819|59,3.0897|62,1.0821|40,4.1030|109,1.5359|19,0.5760|92,4.3982|43,1.9196|115,0.0352|31,-1.3960|9,-0.5081|85,4.0865|68,4.4049|109,5.9516|90,3.3153|112,6.2657|102,2.1621|65,0.2504|92,1.3758|93,3.4558|108,1.9941|87,2.1772|30,1.5864|69,-0.3714|11,3.7480|38,5.9167|41_49429
4.5204|79,3.8746|90,4.0523|16,-1.5339|89,0.4189|40,1.7043|56,3.6477|26,2.4260|109,-1.3371|63,0.5439|19,-1.1591|22,3.2114|110,2.4821|10,-0.1361|51,3.5430|106,3.3121|27,3.3969|49,0.0211|20,2.8669|107,0.3792|90,3.0098|38,1.3187|8,2.2687|108,4.1961|52,1.4504|117,1.6608|44,0.5941|70,0.0170|116,5.7072|112,3.3423|41,-0.0147|51,1.0189|95,-1.1011|82,2.6656|29,3.0635|80,2.6324|104,3.1032|111,5.7770|108,-1.2537|107,3.6392|32,0.8318|96,-0.7995|42,-1.3150|51,3.6277|8,0.8329|76,1.4297|38,1.1137|84,0.9770|84,-0.7174|79,-1.2849|88,0.4537|49,3.8573|109,2.1354|96,-0.5404|25,3.5133|60,3.1067|64,1.0821|40,4.1030|109,1.5359|19,0.5760|92,4.3982|43,1.9196|115,0.0352|31,-1.3960|9,-0.4665|84,4.0163|69,4.3973|112,5.9516|90,3.3123|113,6.2657|102,2.1215|66,0.2504|92,1.3758|93,3.4558|108,1.9849|88,2.1772|30,1.6578|70,-0.5521|11,3.9750|39,5.9167|41_49692
4.5204|79,3.8746|90,4.0523|16,-1.5339|89,0.4189|40,1.7043|56,3.6477|26,2.4260|109,-1.3371|63,0.5439|19,-1.1591|22,3.2114|110,2.4821|10,-0.1361|51,3.5430|106,3.3121|27,3.3969|49,0.0211|20,2.8669|107,0.3792|90,3.0098|38,1.3187|8,2.2687|108,4.1961|52,1.4504|117,1.6608|44,0.5941|70,0.0170|116,5.7072|112,3.3423|41,-0.0147|51,1.0189|95,-1.1011|82,2.6656|29,3.0635|80,2.6324|104,3.1032|111,5.7770|108,-1.2537|107,3.6392|32,0.8318|96,-0.7995|42,-1.3150|51,3.6277|8,0.8329|76,1.4297|38,1.1137|84,0.9770|84,-0.7174|79,-1.2849|88,0.4537|49,3.8573|109,2.1354|96,-0.5404|25,3.5133|60,3.1067|64,1.0821|40,4.1030|109,1.5359|19,0.5760|92,4.3982|43,1.9196|115,0.0352|31,-1.3960|9,-0.4665|84,4.0163|69,4.3973|112,5.9516|90,3.3123|113,6.2657|102,2.1215|66,0.2504|92,1.3758|93,3.4558|108,1.9849|88,2.1772|30,1.6578|70,-0.5521|11,3.9750|39,5.9167|41_49692
4.5204|79,3.8746|90,4.0523|16,-1.5339|89,0.4189|40,1.7043|56,3.5261|28,2.4311|111,-1.3371|63,0.5439|19,-1.1591|22,3.2114|110,2.4821|10,-0.1361|51,3.5430|106,3.3121|27,3.3969|49,0.0211|20,2.8669|107,0.3792|90,2.9325|38,1.4025|11,2.2589|105,4.1961|52,1.4266|115,1.6608|44,0.5941|70,0.0170|116,5.7072|112,3.2643|38,-0.0147|51,1.0189|95,-1.1011|82,2.7681|29,3.0635|80,2.6416|105,3.1212|111,-0.5200|105,-1.2728|104,3.5976|34,0.8362|98,-0.7995|42,-1.2775|51,3.4038|9,0.8715|76,1.4297|38,1.1137|84,0.9770|84,-0.7174|79,-1.2715|84,0.5243|51,3.8573|109,2.1354|96,-0.5404|25,3.4747|58,3.1378|60,1.0333|43,4.1030|109,1.5359|19,0.5760|92,4.4317|44,1.9196|115,0.0352|31,-1.3960|9,-0.4889|80,4.0163|69,4.3973|112,5.9516|90,3.3297|113,6.2657|102,2.1215|66,0.2504|92,1.4060|94,3.4558|108,1.9849|88,2.1772|30,1.6578|70,-0.5521|11,3.9750|39,5.9167|41_49596
4.5204|79,3.8746|90,4.0523|16,-1.5339|89,0.4189|40,1.7043|56,3.5261|28,2.4311|111,-1.3371|63,0.5439|19,-1.1591|22,3.2114|110,2.4821|10,-0.1361|51,3.5430|106,3.3121|27,3.3969|49,0.0211|20,2.8669|107,0.3792|90,2.9325|38,1.4025|11,2.2589|105,4.1961|52,1.4266|115,1.6608|44,0.5941|70,0.0170|116,5.7072|112,3.2643|38,-0.0147|51,1.0189|95,-1.1011|82,2.7681|29,3.0635|80,2.6416|105,3.1212|111,-0.5200|105,-1.2728|104,3.5976|34,0.8362|98,-0.7995|42,-1.3150|51,3.4038|9,0.8715|76,1.3780|38,1.1137|84,0.9753|82,-0.7174|79,-1.2849|88,0.5243|51,3.8259|108,2.1354|96,-0.5404|25,3.5133|60,3.1067|64,1.0333|43,4.1030|109,1.5359|19,0.5760|92,4.4317|44,1.9196|115,3.2289|87,-1.0198|7,-0.4686|79,4.0437|64,4.4049|109,5.9516|90,3.3407|111,0.0119|101,2.1621|65,0.2504|92,1.3758|93,3.4558|108,1.9797|84,2.0903|28,1.5864|69,-0.5521|11,3.9750|39,5.9167|41_49618
